loss,accuracy,val_loss,val_accuracy
1.9504939317703247,0.2915343940258026,1.6262197494506836,0.37037035822868347
1.312013030052185,0.511640191078186,0.9598466753959656,0.6320987939834595
0.8183983564376831,0.7111111283302307,0.601685106754303,0.8049382567405701
0.4787410795688629,0.8243386149406433,0.7970908284187317,0.7086419463157654
0.3829631507396698,0.8518518805503845,0.46505308151245117,0.8049382567405701
0.23759326338768005,0.9111111164093018,0.36292049288749695,0.8617283701896667
0.164895698428154,0.9354497194290161,0.3656751215457916,0.8864197731018066
0.1296483874320984,0.950264573097229,0.23812802135944366,0.9135802388191223
0.11271356791257858,0.9518518447875977,0.325943261384964,0.8839505910873413
0.12292096018791199,0.9507936239242554,0.3269575238227844,0.8814814686775208
0.08047575503587723,0.9661375880241394,0.31792983412742615,0.9111111164093018
0.11143583804368973,0.9582010507583618,0.2723800241947174,0.9037036895751953
0.08667995780706406,0.9656084775924683,0.2809232771396637,0.9135802388191223
